,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chokurdakh,78,RU,1570515485,96,70.62,147.9,12.43,1.88
1,Vaini,40,IN,1570515487,62,15.34,74.49,84.2,5.82
2,Chuy,1,UY,1570515488,79,-33.69,-53.46,55.59,8.12
3,Rikitea,100,PF,1570515489,78,-23.12,-134.97,70.05,11.48
4,Arraial do Cabo,93,BR,1570515309,94,-22.97,-42.02,71.52,2.75
5,Boddam,75,GB,1570515492,93,57.47,-1.78,48.2,12.75
6,Barrow,17,AR,1570515494,63,-38.31,-60.23,43.17,4.5
7,Bambous Virieux,75,MU,1570515496,69,-20.34,57.76,75.99,18.34
8,Hermanus,17,ZA,1570515497,72,-34.42,19.24,63.0,7.0
9,Kodiak,1,US,1570515498,93,39.95,-94.76,51.01,7.49
10,Hobart,40,AU,1570515501,53,-42.88,147.33,54.0,19.46
11,Tasiilaq,0,GL,1570515502,69,65.61,-37.64,39.2,2.24
12,Chernyshevskiy,26,RU,1570515503,73,63.01,112.47,21.52,9.1
13,Grand Gaube,75,MU,1570515308,69,-20.01,57.66,75.99,18.34
14,Ilulissat,25,GL,1570515506,68,69.22,-51.1,24.8,1.12
15,Saint-Philippe,1,CA,1570515507,93,45.36,-73.48,55.4,9.17
16,Goundam,14,ML,1570515509,18,16.42,-3.66,85.29,10.51
17,Nurota,0,UZ,1570515511,27,40.56,65.69,77.0,4.7
18,Yellowknife,90,CA,1570515513,86,62.45,-114.38,30.2,12.75
19,Kaitangata,100,NZ,1570515514,87,-46.28,169.85,51.01,5.99
20,Torbay,75,CA,1570515516,87,47.66,-52.73,57.99,23.04
21,Thompson,90,CA,1570515517,66,55.74,-97.86,50.0,5.82
22,Ushuaia,90,AR,1570515518,94,-54.81,-68.31,32.0,38.03
23,Staryy Nadym,100,RU,1570515520,73,65.61,72.68,36.78,3.42
24,Vila,75,IT,1570515521,93,45.18,8.4,57.99,4.7
25,Katsuura,75,JP,1570515523,61,33.93,134.5,77.0,14.99
26,Byron Bay,91,AU,1570515518,9,-28.65,153.62,100.4,27.51
27,Punta Arenas,0,CL,1570515526,64,-53.16,-70.91,37.4,35.57
28,Salcedo,78,DO,1570515527,86,19.38,-70.42,80.01,4.05
